V0.08--ANIMATION--
>AddSprite:	Option_Cursor		Objects		SINGLE

AddSprite:	BackOption			UIElements	SINGLE_FULL_ALPHA
AddSprite:	BackOption_Highlighted		UIElements	SINGLE_FULL_ALPHA
AddSprite:	ResumeGame			UIElements	SINGLE_FULL_ALPHA
AddSprite:	ResumeGame_Highlighted		UIElements	SINGLE_FULL_ALPHA
AddSprite: 	Settings 			UIElements	SINGLE_FULL_ALPHA
AddSprite:	Settings_Highlighted		UIElements	SINGLE_FULL_ALPHA
AddSprite:	QuitGame			UIElements	SINGLE_FULL_ALPHA
AddSprite:	QuitGame_Highlighted		UIElements	SINGLE_FULL_ALPHA
AddSprite: 	VideoSettings 			UIElements	SINGLE_FULL_ALPHA
AddSprite:	VideoSettings_Highlighted	UIElements	SINGLE_FULL_ALPHA
AddSprite: 	SoundSettings 			UIElements	SINGLE_FULL_ALPHA
AddSprite:	SoundSettings_Highlighted	UIElements	SINGLE_FULL_ALPHA
	
AddSprite:	FadeOut			Objects		SINGLE_FULL_ALPHA

AddSprite:	MouseCursor		NULL		SINGLE_FULL_ALPHA 
